sensor_id,geo_feature,feature_type,buffer_size,count
77711,highway,traffic_signals,500,2
76597,highway,stop,1000,13
135134,highway,stop,1000,11
78615,highway,turning_circle,1000,26
143602,highway,turning_circle,500,6
64857,highway,turning_circle,100,1
19047,highway,traffic_signals,500,1
86273,highway,turning_circle,500,4
73689,highway,crossing,500,37
14885,highway,turning_circle,1000,7
19153,highway,bus_stop,100,1
39665,highway,motorway_junction,500,1
62419,highway,bus_stop,1000,11
72817,highway,traffic_signals,1000,8
72817,highway,stop,500,2
64857,highway,turning_circle,500,2
78107,highway,crossing,100,1
118569,highway,bus_stop,1000,3
48633,highway,bus_stop,1000,28
135134,highway,crossing,500,1
94955,highway,traffic_signals,1000,59
37849,highway,traffic_signals,500,4
112008,highway,stop,1000,6
78041,highway,traffic_signals,1000,1
76683,highway,traffic_signals,500,1
85867,highway,bus_stop,1000,96
104718,highway,street_lamp,1000,6
78267,highway,street_lamp,1000,24
37197,highway,crossing,1000,1
90799,highway,turning_loop,1000,2
83549,highway,bus_stop,500,5
76465,highway,bus_stop,1000,8
113066,highway,crossing,1000,3
37849,highway,stop,1000,185
134314,highway,turning_circle,1000,14
80519,highway,stop,1000,1
134314,highway,turning_circle,100,1
110666,highway,stop,1000,12
104432,highway,stop,500,8
65723,highway,traffic_signals,500,1
22067,highway,give_way,1000,1
55463,highway,crossing,500,24
84207,highway,turning_circle,500,13
37271,highway,crossing,1000,51
122079,highway,crossing,500,17
12719,highway,bus_stop,100,2
25507,highway,street_lamp,1000,37
37271,highway,crossing,500,13
64763,highway,stop,500,5
114889,highway,turning_circle,100,1
37849,highway,crossing,500,184
99657,highway,crossing,1000,172
103850,highway,stop,1000,6
87815,highway,turning_circle,1000,11
76355,highway,stop,1000,2
2653,highway,stop,500,8
121439,highway,turning_circle,500,9
76597,highway,turning_circle,1000,10
135134,highway,turning_circle,100,2
64763,highway,crossing,1000,78
76597,highway,bus_stop,1000,6
128231,highway,crossing,500,52
60353,highway,crossing,500,30
83641,highway,motorway_junction,1000,3
56777,highway,crossing,1000,183
114889,highway,stop,500,6
77807,highway,traffic_signals,500,8
64469,highway,turning_circle,1000,28
62419,highway,stop,1000,2
48067,highway,turning_circle,100,2
114557,highway,bus_stop,500,2
40827,highway,traffic_signals,1000,15
121453,highway,stop,500,9
128231,highway,turning_circle,500,2
37703,highway,traffic_signals,1000,9
70009,highway,traffic_signals,500,8
19157,highway,turning_circle,500,10
134314,highway,turning_circle,500,3
73853,highway,crossing,1000,11
94955,highway,stop,500,17
112008,highway,crossing,1000,28
82991,highway,traffic_signals,1000,10
104718,highway,motorway_junction,1000,5
51301,highway,crossing,500,120
70097,highway,steps,1000,1
56545,highway,crossing,100,5
113292,highway,crossing,1000,1
69599,highway,traffic_signals,1000,15
67779,highway,traffic_signals,1000,1
73689,highway,motorway_junction,500,1
56777,highway,traffic_signals,500,2
19573,highway,stop,500,12
78819,highway,crossing,100,8
70471,highway,stop,500,1
53517,highway,crossing,1000,232
37725,highway,bus_stop,1000,63
11416,highway,bus_stop,1000,2
112242,highway,turning_loop,1000,1
104460,highway,traffic_signals,1000,4
40827,highway,turning_loop,1000,3
77049,highway,bus_stop,1000,2
6218,highway,crossing,500,13
78819,highway,traffic_signals,1000,7
19573,highway,stop,1000,38
86407,highway,stop,500,1
92029,highway,stop,100,1
70009,highway,bus_stop,1000,15
104432,highway,traffic_signals,1000,12
114189,highway,turning_circle,100,1
97693,highway,crossing,500,34
65259,highway,turning_circle,500,4
71525,highway,stop,1000,1
17839,highway,bus_stop,1000,2
78267,highway,crossing,500,3
22459,highway,traffic_signals,1000,4
39665,highway,turning_circle,500,12
110324,highway,turning_circle,1000,19
118965,highway,stop,1000,15
60455,highway,bus_stop,1000,11
52981,highway,traffic_signals,1000,4
113066,highway,mini_roundabout,500,1
89725,highway,bus_stop,500,11
114379,highway,stop,1000,8
37849,highway,crossing,1000,703
60829,highway,turning_circle,500,8
75739,highway,stop,1000,11
112310,highway,crossing,1000,12
110494,highway,crossing,500,8
104672,highway,crossing,100,4
63991,highway,stop,500,6
59873,highway,turning_loop,1000,1
39663,highway,stop,500,1
80735,highway,traffic_signals,500,4
11416,highway,turning_circle,500,2
61321,highway,crossing,1000,1
28425,highway,stop,1000,20
125965,highway,crossing,1000,2
98713,highway,turning_loop,500,1
19573,highway,turning_circle,1000,5
79177,highway,stop,1000,10
85081,highway,turning_circle,500,6
83641,highway,stop,1000,45
70701,highway,crossing,500,30
67459,highway,crossing,500,27
69909,highway,crossing,1000,455
85867,highway,traffic_signals,1000,53
82079,highway,crossing,500,72
14161,highway,turning_circle,1000,3
77711,highway,turning_circle,1000,43
64469,highway,turning_circle,100,1
70097,highway,crossing,1000,62
15669,highway,turning_circle,500,1
82847,highway,turning_circle,1000,23
50093,highway,turning_circle,1000,20
121453,highway,bus_stop,1000,6
78107,highway,bus_stop,1000,7
114889,highway,crossing,1000,45
73755,highway,traffic_signals,500,3
90925,highway,crossing,500,7
60829,highway,bus_stop,1000,11
114889,highway,street_lamp,1000,11
19613,highway,bus_stop,1000,5
19573,highway,turning_loop,500,1
54169,highway,crossing,1000,2
136698,highway,stop,1000,3
75529,highway,traffic_signals,1000,2
72081,highway,motorway_junction,500,2
11416,highway,traffic_signals,500,1
70449,highway,bus_stop,1000,14
27723,highway,turning_circle,1000,28
6244,highway,motorway_junction,1000,4
82265,highway,turning_loop,500,1
19047,highway,turning_circle,500,13
60007,highway,motorway_junction,1000,2
18481,highway,bus_stop,1000,11
37009,highway,give_way,1000,2
51301,highway,stop,1000,12
38747,highway,stop,1000,4
112242,highway,stop,1000,6
65223,highway,stop,500,7
97109,highway,turning_circle,1000,31
55449,highway,turning_circle,1000,10
51371,highway,traffic_signals,1000,5
25507,highway,stop,500,8
57355,highway,crossing,1000,10
40471,highway,traffic_signals,1000,15
128231,highway,traffic_signals,500,3
90925,highway,turning_circle,500,7
57887,highway,traffic_signals,1000,3
73667,highway,stop,100,3
84997,highway,stop,500,10
19511,highway,crossing,1000,253
39663,highway,turning_circle,1000,15
22067,highway,turning_circle,500,3
38371,highway,turning_circle,1000,1
82991,highway,bus_stop,1000,37
79337,highway,stop,100,2
72817,highway,turning_circle,1000,8
108138,highway,stop,500,1
60105,highway,turning_circle,500,3
84997,highway,turning_circle,100,1
76377,highway,crossing,1000,4
112834,highway,give_way,1000,5
18481,highway,turning_loop,1000,1
19153,highway,crossing,500,115
53517,highway,crossing,500,44
70637,highway,traffic_signals,1000,1
6222,highway,turning_circle,1000,3
50093,highway,traffic_signals,500,12
6818,highway,turning_circle,500,5
90819,highway,turning_circle,500,3
2362,highway,crossing,500,4
51371,highway,bus_stop,500,3
60833,highway,crossing,500,2
114889,highway,turning_circle,1000,10
73689,highway,stop,500,39
19157,highway,turning_circle,1000,31
60353,highway,traffic_signals,1000,21
92029,highway,turning_loop,1000,1
86911,highway,turning_circle,100,1
39663,highway,bus_stop,500,4
82079,highway,bus_stop,500,10
